CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,RM_squared,LSTAT_log,price_per_room,RM_category
0.62739,0.0,8.14,0,0.538,5.834,56.5,4.4986,4,307.0,21.0,395.62,8.47,19.9,34.03555599999999,2.248128907197987,3.4110387384298937,Medium
1.05393,0.0,8.14,0,0.538,5.935,29.3,4.4986,4,307.0,21.0,386.85,6.58,23.1,35.224225,2.0255131996542803,3.892165122156698,Medium
0.7842,0.0,8.14,0,0.538,5.99,81.7,4.2579,4,307.0,21.0,386.75,14.67,17.5,35.880100000000006,2.7517480563679295,2.9215358931552586,Medium
0.80271,0.0,8.14,0,0.538,5.456,36.6,3.7965,4,307.0,21.0,288.99,11.69,20.2,29.767936000000006,2.540814281726296,3.702346041055718,Medium
0.7258,0.0,8.14,0,0.538,5.727,69.5,3.7965,4,307.0,21.0,390.95,11.28,18.2,32.798529,2.5079719227189963,3.1779291077352885,Medium
1.25179,0.0,8.14,0,0.538,5.57,98.1,3.7979,4,307.0,21.0,376.57,21.02,13.6,31.024900000000002,3.091951131294534,2.4416517055655294,Medium
0.85204,0.0,8.14,0,0.538,5.965,89.2,4.0123,4,307.0,21.0,392.53,13.83,19.6,35.581224999999996,2.696652156149841,3.285834031852473,Medium
1.23247,0.0,8.14,0,0.538,6.142,91.7,3.9769,4,307.0,21.0,396.9,18.72,15.2,37.724164,2.9816333491744893,2.4747639205470526,Large
0.98843,0.0,8.14,0,0.538,5.813,100.0,4.0952,4,307.0,21.0,394.54,19.88,14.5,33.790969,3.038791763014438,2.494409083089627,Medium
0.75026,0.0,8.14,0,0.538,5.924,94.1,4.3996,4,307.0,21.0,394.33,16.3,15.6,35.093776000000005,2.8507065015037334,2.6333558406482105,Medium
0.84054,0.0,8.14,0,0.538,5.599,85.7,4.4546,4,307.0,21.0,303.42,16.51,13.9,31.348801,2.8627721462977607,2.4825861761028754,Medium
0.67191,0.0,8.14,0,0.538,5.813,90.3,4.682,4,307.0,21.0,376.88,14.81,16.6,33.790969,2.7606426512213806,2.855668329606056,Medium
0.95577,0.0,8.14,0,0.538,6.047,88.8,4.4534,4,307.0,21.0,306.38,17.28,14.8,36.56620899999999,2.905807566026004,2.4474946254341,Large
0.77299,0.0,8.14,0,0.538,6.495,94.4,4.4547,4,307.0,21.0,387.94,12.8,18.4,42.185025,2.624668592163159,2.8329484218629712,Large
1.00245,0.0,8.14,0,0.538,6.674,87.3,4.239,4,307.0,21.0,380.23,11.98,21.0,44.54227600000001,2.563409711275944,3.1465388073119565,Large
1.13081,0.0,8.14,0,0.538,5.713,94.1,4.233,4,307.0,21.0,360.17,22.6,12.7,32.638369000000004,3.1612467120315646,2.2230001750393837,Medium
1.35472,0.0,8.14,0,0.538,6.072,100.0,4.175,4,307.0,21.0,376.73,13.04,14.5,36.869184000000004,2.641910398597665,2.388010540184453,Large
1.38799,0.0,8.14,0,0.538,5.95,82.0,3.99,4,307.0,21.0,232.6,27.71,13.2,35.4025,3.3572454941329726,2.218487394957983,Medium
1.15172,0.0,8.14,0,0.538,5.701,95.0,3.7872,4,307.0,21.0,358.77,18.35,13.1,32.501400999999994,2.962692419475791,2.2978424837747764,Medium
1.61282,0.0,8.14,0,0.538,6.096,96.9,3.7598,4,307.0,21.0,248.31,20.34,13.5,37.161216,3.060583245873607,2.2145669291338583,Large
0.06417,0.0,5.96,0,0.499,5.933,68.2,3.3603,5,279.0,19.2,396.9,9.68,18.9,35.200489,2.3683728335320486,3.185572223158604,Medium
0.09744,0.0,5.96,0,0.499,5.841,61.4,3.3779,5,279.0,19.2,377.56,11.41,20.0,34.117281000000006,2.5185025992165158,3.42407122068139,Medium
0.08014,0.0,5.96,0,0.499,5.85,41.5,3.9342,5,279.0,19.2,396.9,8.77,21.0,34.2225,2.2793164660546914,3.58974358974359,Medium
0.17505,0.0,5.96,0,0.499,5.966,30.2,3.8473,5,279.0,19.2,393.43,10.13,24.7,35.593156,2.4096441652874536,4.140127388535031,Medium
0.02763,75.0,2.95,0,0.428,6.595,21.8,5.4011,3,252.0,18.3,395.63,4.32,30.8,43.49402499999999,1.6714733033535532,4.6702047005307055,Large
0.03359,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252.0,18.3,395.62,1.98,34.9,49.336576,1.091923300517313,4.968678815489749,Very Large
0.12744,0.0,6.91,0,0.448,6.77,2.9,5.7209,3,233.0,17.9,385.41,4.84,26.6,45.832899999999995,1.7647307968401356,3.9290989660265883,Large
0.1415,0.0,6.91,0,0.448,6.169,6.6,5.7209,3,233.0,17.9,383.37,5.81,25.3,38.056560999999995,1.918392120161421,4.101150915869671,Large
0.15936,0.0,6.91,0,0.448,6.211,6.5,5.7209,3,233.0,17.9,394.46,7.44,24.7,38.57652100000001,2.132982308607866,3.9768153276445015,Large
0.12269,0.0,6.91,0,0.448,6.069,40.0,5.7209,3,233.0,17.9,389.39,9.55,21.2,36.832761,2.3561258599220753,3.493161970670621,Large
0.17142,0.0,6.91,0,0.448,5.682,33.8,5.1004,3,233.0,17.9,396.9,10.21,19.3,32.285124,2.4168062370840686,3.3966913058782118,Medium
0.18836,0.0,6.91,0,0.448,5.786,33.3,5.1004,3,233.0,17.9,396.9,14.15,20.0,33.477796,2.7180005319553784,3.4566194262011756,Medium
0.22927,0.0,6.91,0,0.448,6.03,85.5,5.6894,3,233.0,17.9,392.74,18.8,16.6,36.3609,2.9856819377004897,2.7529021558872304,Large
0.25387,0.0,6.91,0,0.448,5.399,95.3,5.87,3,233.0,17.9,396.9,30.81,14.4,29.149201,3.4597807057610526,2.667160585293573,Medium
0.21977,0.0,6.91,0,0.448,5.602,62.0,6.0877,3,233.0,17.9,396.9,16.2,19.4,31.382404000000005,2.8449093838194073,3.463048911103177,Medium
0.08873,21.0,5.64,0,0.439,5.963,45.7,6.8147,4,243.0,16.8,395.56,13.45,19.7,35.557369,2.670694414558441,3.303706188160322,Medium
0.04337,21.0,5.64,0,0.439,6.115,63.0,6.8147,4,243.0,16.8,393.97,9.43,20.5,37.393225,2.344686269012681,3.3524121013900245,Large
0.0536,21.0,5.64,0,0.439,6.511,21.1,6.8147,4,243.0,16.8,396.9,5.28,25.0,42.393121,1.8373699804801074,3.8396559668253722,Large
0.04981,21.0,5.64,0,0.439,5.998,21.4,6.8147,4,243.0,16.8,396.9,8.43,23.4,35.976004,2.2438960966453663,3.9013004334778256,Medium
0.0136,75.0,4.0,0,0.41,5.888,47.6,7.3197,3,469.0,21.1,396.9,14.8,18.9,34.668544,2.760009940032921,3.209918478260869,Medium
0.01311,90.0,1.22,0,0.403,7.249,21.9,8.6966,5,226.0,17.9,395.93,4.81,35.4,52.54800099999999,1.7595805708638197,4.883432197544489,Very Large
0.02055,85.0,0.74,0,0.41,6.383,35.7,9.1876,2,313.0,17.3,396.9,5.77,24.7,40.742689,1.9125010869241836,3.8696537678207736,Large
0.01432,100.0,1.32,0,0.411,6.816,40.5,8.3248,5,256.0,15.1,392.9,3.95,31.6,46.457856,1.599387576580599,4.636150234741784,Large
0.15445,25.0,5.13,0,0.453,6.145,29.2,7.8148,8,284.0,19.7,390.68,6.86,23.3,37.761025,2.061786606441115,3.7917005695687553,Large
0.10328,25.0,5.13,0,0.453,5.927,47.2,6.932,8,284.0,19.7,396.9,9.22,19.6,35.129329,2.3243465847755584,3.306900624261853,Medium
0.14932,25.0,5.13,0,0.453,5.741,66.2,7.2254,8,284.0,19.7,395.11,13.15,18.7,32.959081,2.649714624089247,3.2572722522208677,Medium
0.17171,25.0,5.13,0,0.453,5.966,93.4,6.8185,8,284.0,19.7,378.08,14.44,16.0,35.593156,2.73696154459663,2.681863895407308,Medium
0.11027,25.0,5.13,0,0.453,6.456,67.8,7.2255,8,284.0,19.7,396.9,6.73,22.2,41.679936000000005,2.0451088625993306,3.4386617100371746,Large
0.1265,25.0,5.13,0,0.453,6.762,43.4,7.9809,8,284.0,19.7,395.58,9.5,25.0,45.72464399999999,2.3513752571634776,3.6971310263235733,Large
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216.0,18.6,393.24,8.05,33.0,50.466816,2.2027647577118348,4.64527027027027,Very Large
0.03584,80.0,3.37,0,0.398,6.29,17.8,6.6115,4,337.0,16.1,396.9,4.67,23.5,39.5641,1.7351891177396608,3.7360890302066774,Large
0.04379,80.0,3.37,0,0.398,5.787,31.1,6.6115,4,337.0,16.1,396.9,10.24,19.4,33.489368999999996,2.419478844465545,3.3523414549853117,Medium
0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345.0,18.9,396.21,8.1,22.0,34.550884,2.2082744135228043,3.74276964954066,Medium
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345.0,18.9,396.9,13.09,17.4,31.292836000000005,2.645465325910589,3.1104755094744365,Medium
0.12816,12.5,6.07,0,0.409,5.885,33.0,6.498,4,345.0,18.9,396.9,8.79,20.9,34.633224999999996,2.281361456542419,3.5514018691588785,Medium
0.08826,0.0,10.81,0,0.413,6.417,6.6,5.2873,4,305.0,19.2,383.73,6.72,24.2,41.177889,2.0438143640366846,3.7712326632382736,Large
0.15876,0.0,10.81,0,0.413,5.961,17.5,5.2873,4,305.0,19.2,376.94,9.88,21.7,35.533521,2.3869262414277967,3.6403288038919643,Medium
0.09164,0.0,10.81,0,0.413,6.065,7.8,5.2873,4,305.0,19.2,390.91,5.52,22.8,36.784225000000006,1.8748743759385615,3.7592745259686726,Large
0.19539,0.0,10.81,0,0.413,6.245,6.2,5.2873,4,305.0,19.2,377.17,7.54,23.4,39.000025,2.1447610078004784,3.7469975980784627,Large
0.07896,0.0,12.83,0,0.437,6.273,6.0,4.2515,5,398.0,18.7,394.92,6.78,24.1,39.350528999999995,2.0515563381903004,3.8418619480312453,Large
0.09512,0.0,12.83,0,0.437,6.286,45.0,4.5026,5,398.0,18.7,383.23,8.94,21.4,39.51379599999999,2.2965670206684825,3.404390709513204,Large
0.10153,0.0,12.83,0,0.437,6.279,74.5,4.0522,5,398.0,18.7,373.66,11.97,20.0,39.425841,2.5626389983283526,3.1852205765249244,Large
0.08707,0.0,12.83,0,0.437,6.14,45.8,4.0905,5,398.0,18.7,386.96,10.27,20.8,37.6996,2.422144328051685,3.3876221498371337,Large
0.05646,0.0,12.83,0,0.437,6.232,53.7,5.0141,5,398.0,18.7,386.4,12.34,21.2,38.837824000000005,2.590767040487478,3.4017971758664953,Large
0.08387,0.0,12.83,0,0.437,5.874,36.6,4.5026,5,398.0,18.7,396.06,9.1,20.3,34.503876,2.312535423847214,3.4559073884916587,Medium
0.04113,25.0,4.86,0,0.426,6.727,33.5,5.4007,4,281.0,19.0,396.9,5.29,28.0,45.252529,1.8389610707123492,4.1623309053069715,Large
0.04462,25.0,4.86,0,0.426,6.619,70.4,5.4007,4,281.0,19.0,395.63,7.22,23.9,43.811161,2.1065702090680882,3.610817344009669,Large
0.03659,25.0,4.86,0,0.426,6.302,32.2,5.4007,4,281.0,19.0,396.9,6.72,24.8,39.71520399999999,2.0438143640366846,3.935258648048239,Large
0.03551,25.0,4.86,0,0.426,6.167,46.7,5.4007,4,281.0,19.0,390.64,7.51,22.9,38.031889,2.1412419425852827,3.713312793903032,Large
0.05059,0.0,4.49,0,0.449,6.389,48.0,4.7794,3,247.0,18.5,396.9,9.62,23.9,40.819321,2.362739015813793,3.740804507747691,Large
0.05735,0.0,4.49,0,0.449,6.63,56.1,4.4377,3,247.0,18.5,392.3,6.53,26.6,43.9569,2.018895041811802,4.012066365007541,Large
0.05188,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247.0,18.5,395.99,12.86,22.5,36.18022499999999,2.6290069937617573,3.7406483790523692,Large
0.07151,0.0,4.49,0,0.449,6.121,56.8,3.7476,3,247.0,18.5,395.15,8.44,22.2,37.466641,2.244955980157409,3.6268583564776993,Large
0.0566,0.0,3.41,0,0.489,7.007,86.3,3.4217,2,270.0,17.8,396.9,5.5,23.6,49.098048999999996,1.8718021769015913,3.3680605109176542,Very Large
0.05302,0.0,3.41,0,0.489,7.079,63.1,3.4145,2,270.0,17.8,396.06,5.7,28.7,50.112241,1.9021075263969205,4.054244949851674,Very Large
0.04684,0.0,3.41,0,0.489,6.417,66.1,3.0923,2,270.0,17.8,392.18,8.81,22.6,41.177889,2.2834022735772717,3.5218949664952475,Large
0.03932,0.0,3.41,0,0.489,6.405,73.9,3.0921,2,270.0,17.8,393.55,8.2,22.0,41.024025,2.2192034840549946,3.4348165495706477,Large
0.04203,28.0,15.04,0,0.464,6.442,53.6,3.6659,4,270.0,18.2,395.01,8.16,22.9,41.499364,2.214846178686039,3.5547966470040357,Large
0.02875,28.0,15.04,0,0.464,6.211,28.9,3.6659,4,270.0,18.2,396.33,6.21,25.0,38.57652100000001,1.9754689512968577,4.025116728385123,Large
0.04294,28.0,15.04,0,0.464,6.249,77.3,3.615,4,270.0,18.2,396.9,10.59,20.6,39.050000999999995,2.4501426573516603,3.296527444391103,Large
0.12204,0.0,2.89,0,0.445,6.625,57.8,3.4952,2,276.0,18.0,357.98,6.65,28.4,43.890625,2.0347056478384444,4.286792452830189,Large
0.11504,0.0,2.89,0,0.445,6.163,69.6,3.4952,2,276.0,18.0,391.83,11.34,21.4,37.982569000000005,2.5128460184772416,3.472334901833522,Large
0.12083,0.0,2.89,0,0.445,8.069,76.0,3.4952,2,276.0,18.0,396.9,4.21,38.7,65.10876100000002,1.6505798557652755,4.796133349857479,Very Large
0.08187,0.0,2.89,0,0.445,7.82,36.9,3.4952,2,276.0,18.0,393.53,3.57,43.8,61.15240000000001,1.5195132049061133,5.601023017902813,Very Large
0.0686,0.0,2.89,0,0.445,7.416,62.5,3.4952,2,276.0,18.0,396.9,6.19,33.2,54.99705600000001,1.9726911717329554,4.4768069039913705,Very Large
0.14866,0.0,8.56,0,0.52,6.727,79.9,2.7778,5,384.0,20.9,394.76,9.42,27.5,45.252529,2.343727036325221,4.088003567712204,Large
0.11432,0.0,8.56,0,0.52,6.781,71.3,2.8561,5,384.0,20.9,395.58,7.67,26.5,45.981961,2.1598687907924505,3.907978174310574,Large
0.22876,0.0,8.56,0,0.52,6.405,85.4,2.7147,5,384.0,20.9,70.8,10.63,18.6,41.024025,2.453587966530573,2.9039812646370025,Large
0.21161,0.0,8.56,0,0.52,6.137,87.4,2.7147,5,384.0,20.9,394.47,13.44,19.3,37.662769,2.67000213346468,3.144859051653903,Large
0.1396,0.0,8.56,0,0.52,6.167,90.0,2.421,5,384.0,20.9,392.69,12.33,20.1,38.031889,2.5900171341906173,3.2592832819847577,Large
0.13262,0.0,8.56,0,0.52,5.851,96.7,2.1069,5,384.0,20.9,394.05,16.47,19.5,34.234201,2.8604851241459652,3.3327636301486927,Medium
0.1712,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384.0,20.9,395.67,18.66,19.5,34.058896000000004,2.9785861147190205,3.3413296778615487,Medium
0.13117,0.0,8.56,0,0.52,6.127,85.2,2.1224,5,384.0,20.9,387.69,14.09,20.4,37.540129,2.7140322727797574,3.329525053043904,Large
0.12802,0.0,8.56,0,0.52,6.474,97.1,2.4329,5,384.0,20.9,395.24,12.27,19.8,41.912676000000005,2.5855058483441162,3.0583873957367933,Large
0.26363,0.0,8.56,0,0.52,6.229,91.2,2.5451,5,384.0,20.9,391.23,15.55,19.4,38.800441,2.806386101823072,3.11446460105956,Large
0.10793,0.0,8.56,0,0.52,6.195,54.4,2.7778,5,384.0,20.9,393.49,13.0,21.7,38.378025,2.6390573296152584,3.502824858757062,Large
0.10084,0.0,10.01,0,0.547,6.715,81.6,2.6775,6,432.0,17.8,395.59,10.16,22.8,45.091225,2.412335956953165,3.395383469843634,Large
0.12329,0.0,10.01,0,0.547,5.913,92.9,2.3534,6,432.0,17.8,394.95,16.21,18.8,34.963569,2.845490610223448,3.1794351429054624,Medium
0.22212,0.0,10.01,0,0.547,6.092,95.4,2.548,6,432.0,17.8,396.9,17.09,18.7,37.112463999999996,2.895359299407204,3.0695994747209454,Large
0.14231,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432.0,17.8,388.74,10.45,18.5,39.11251599999999,2.4379897300002487,2.9581068116405502,Large
0.17134,0.0,10.01,0,0.547,5.928,88.2,2.4631,6,432.0,17.8,344.91,15.76,18.3,35.141184,2.818995095053937,3.087044534412956,Medium
0.13158,0.0,10.01,0,0.547,6.176,72.5,2.7301,6,432.0,17.8,393.3,12.04,21.2,38.142976000000004,2.5680215564985067,3.432642487046632,Large
0.15098,0.0,10.01,0,0.547,6.021,82.6,2.7474,6,432.0,17.8,394.51,10.3,19.2,36.252441,2.424802725718295,3.1888390632785253,Large
0.13058,0.0,10.01,0,0.547,5.872,73.1,2.4775,6,432.0,17.8,338.63,15.37,20.4,34.480384,2.7954503913830435,3.4741144414168934,Medium
0.14476,0.0,10.01,0,0.547,5.731,65.2,2.7592,6,432.0,17.8,391.5,13.61,19.3,32.844361,2.681706225762608,3.367649624847322,Medium
0.06899,0.0,25.65,0,0.581,5.87,69.7,2.2577,2,188.0,19.1,389.15,14.37,22.0,34.456900000000005,2.7324175575505043,3.7478705281090288,Medium
0.07165,0.0,25.65,0,0.581,6.004,84.1,2.1974,2,188.0,19.1,377.67,14.27,20.3,36.048016,2.725890119230541,3.3810792804796805,Large
0.09299,0.0,25.65,0,0.581,5.961,92.9,2.0869,2,188.0,19.1,378.09,17.93,20.5,35.533521,2.9407479652212314,3.439020298607616,Medium
0.15038,0.0,25.65,0,0.581,5.856,97.0,1.9444,2,188.0,19.1,370.31,25.41,17.3,34.292736,3.273742726309041,2.954234972677596,Medium
0.09849,0.0,25.65,0,0.581,5.879,95.8,2.0063,2,188.0,19.1,379.38,17.58,18.8,34.56264099999999,2.922085733385692,3.197822758972615,Medium
0.16902,0.0,25.65,0,0.581,5.986,88.4,1.9929,2,188.0,19.1,385.02,14.81,21.4,35.832195999999996,2.7606426512213806,3.575008352823254,Medium
0.38735,0.0,25.65,0,0.581,5.613,95.6,1.7572,2,188.0,19.1,359.29,27.26,15.7,31.505769000000004,3.3414473772563813,2.797078211295207,Medium
0.25915,0.0,21.89,0,0.624,5.693,96.0,1.7883,4,437.0,21.2,392.11,17.19,16.2,32.41024899999999,2.900871992530031,2.8455998594765504,Medium
0.32543,0.0,21.89,0,0.624,6.431,98.8,1.8125,4,437.0,21.2,396.9,15.39,18.0,41.357761,2.7966713927557385,2.7989426216762556,Large
0.88125,0.0,21.89,0,0.624,5.637,94.7,1.9799,4,437.0,21.2,396.9,18.34,14.3,31.775768999999997,2.9621754900251482,2.536810360120632,Medium
0.34006,0.0,21.89,0,0.624,6.458,98.9,2.1185,4,437.0,21.2,395.04,12.6,19.2,41.705764,2.6100697927420065,2.9730566738928457,Large
1.19294,0.0,21.89,0,0.624,6.326,97.7,2.271,4,437.0,21.2,396.9,12.26,19.6,40.01827599999999,2.5847519847577165,3.0983243755927923,Large
0.59005,0.0,21.89,0,0.624,6.372,97.9,2.3274,4,437.0,21.2,385.76,11.12,23.0,40.602384,2.4948569806411682,3.6095417451349654,Large
0.32982,0.0,21.89,0,0.624,5.822,95.4,2.4699,4,437.0,21.2,388.69,15.03,18.4,33.895684,2.7744619666214616,3.1604259704568873,Medium
0.97617,0.0,21.89,0,0.624,5.757,98.4,2.346,4,437.0,21.2,262.76,17.31,15.6,33.143049,2.907447358686419,2.709744658676394,Medium
0.55778,0.0,21.89,0,0.624,6.335,98.2,2.1107,4,437.0,21.2,394.67,16.96,18.1,40.132225,2.8881470628740535,2.857142857142857,Large
0.32264,0.0,21.89,0,0.624,5.942,93.5,1.9669,4,437.0,21.2,378.25,16.9,17.4,35.307364,2.884800712846709,2.9283069673510598,Medium
0.35233,0.0,21.89,0,0.624,6.454,98.4,1.8498,4,437.0,21.2,394.08,14.59,17.1,41.654115999999995,2.7466296830696852,2.649519677719244,Large
0.2498,0.0,21.89,0,0.624,5.857,98.2,1.6686,4,437.0,21.2,392.04,21.32,13.3,34.304449000000005,3.1054831375131102,2.2707870923681064,Medium
0.54452,0.0,21.89,0,0.624,6.151,97.9,1.6687,4,437.0,21.2,396.9,18.46,17.8,37.834801,2.968361076757859,2.8938384002601207,Large
0.2909,0.0,21.89,0,0.624,6.174,93.6,1.6119,4,437.0,21.2,388.08,24.16,14.0,38.118276,3.22525543183224,2.2675736961451247,Large
1.62864,0.0,21.89,0,0.624,5.019,100.0,1.4394,4,437.0,21.2,396.9,34.41,14.4,25.190361000000003,3.566994266123812,2.8690974297668856,Medium
3.32105,0.0,19.58,1,0.871,5.403,100.0,1.3216,5,403.0,14.7,396.9,26.82,13.4,29.192408999999994,3.325755186495297,2.480103646122525,Medium
4.0974,0.0,19.58,0,0.871,5.468,100.0,1.4118,5,403.0,14.7,396.9,26.42,15.6,29.899024,3.3112726741341683,2.852962692026335,Medium
2.77974,0.0,19.58,0,0.871,4.903,97.8,1.3459,5,403.0,14.7,396.9,29.29,11.8,24.039408999999996,3.410817625039146,2.406689781766266,Small
2.37934,0.0,19.58,0,0.871,6.13,100.0,1.4191,5,403.0,14.7,172.91,27.8,13.8,37.5769,3.3603753871419,2.2512234910277327,Large
2.15505,0.0,19.58,0,0.871,5.628,100.0,1.5166,5,403.0,14.7,169.27,16.65,15.6,31.674384,2.8707357833793057,2.7718550106609805,Medium
2.36862,0.0,19.58,0,0.871,4.926,95.7,1.4608,5,403.0,14.7,391.71,29.53,14.6,24.265476000000003,3.4187098067467865,2.9638652050345105,Small
2.33099,0.0,19.58,0,0.871,5.186,93.8,1.5296,5,403.0,14.7,356.99,28.32,17.8,26.894596,3.3782698770184507,3.4323177786347863,Medium
2.73397,0.0,19.58,0,0.871,5.597,94.9,1.5257,5,403.0,14.7,351.85,21.45,15.4,31.326409000000005,3.1112906141882632,2.751474003930677,Medium
1.6566,0.0,19.58,0,0.871,6.122,97.3,1.618,5,403.0,14.7,372.8,14.1,21.5,37.478884,2.714694743820879,3.511924207775237,Large
1.49632,0.0,19.58,0,0.871,5.404,100.0,1.5916,5,403.0,14.7,341.6,13.28,19.6,29.203215999999998,2.658859956911438,3.6269430051813476,Medium
1.12658,0.0,19.58,1,0.871,5.012,88.0,1.6102,5,403.0,14.7,343.28,12.12,15.3,25.120143999999996,2.574137783515943,3.052673583399841,Medium
2.14918,0.0,19.58,0,0.871,5.709,98.5,1.6232,5,403.0,14.7,261.95,15.79,19.4,32.592681,2.8207834710894493,3.398143282536346,Medium
1.41385,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403.0,14.7,321.02,15.12,17.0,37.564640999999995,2.780060737078482,2.7736988089411,Large
3.53501,0.0,19.58,1,0.871,6.152,82.6,1.7455,5,403.0,14.7,88.01,15.02,15.6,37.847104,2.7738379416402132,2.5357607282184653,Large
2.44668,0.0,19.58,0,0.871,5.272,94.0,1.7364,5,403.0,14.7,88.63,16.14,13.1,27.793984000000002,2.8414149131696336,2.484825493171472,Medium
1.22358,0.0,19.58,0,0.605,6.943,97.4,1.8773,5,403.0,14.7,363.43,4.59,41.3,48.205248999999995,1.7209792871670078,5.94843727495319,Large
1.34284,0.0,19.58,0,0.605,6.066,100.0,1.7573,5,403.0,14.7,353.89,6.43,24.3,36.796355999999996,2.005525858729668,4.005934718100891,Large
1.42502,0.0,19.58,0,0.871,6.51,100.0,1.7659,5,403.0,14.7,364.31,7.39,23.3,42.3801,2.127040520479115,3.579109062980031,Large
1.27346,0.0,19.58,1,0.605,6.25,92.6,1.7984,5,403.0,14.7,338.92,5.5,27.0,39.0625,1.8718021769015913,4.32,Large
1.46336,0.0,19.58,0,0.605,7.489,90.8,1.9709,5,403.0,14.7,374.43,1.73,50.0,56.085121,1.0043016091968684,6.676458806249165,Very Large
1.83377,0.0,19.58,1,0.605,7.802,98.2,2.0407,5,403.0,14.7,389.61,1.92,50.0,60.87120399999999,1.0715836162801904,6.40861317610869,Very Large
1.51902,0.0,19.58,1,0.605,8.375,93.9,2.162,5,403.0,14.7,388.45,3.32,50.0,70.140625,1.463255402256019,5.970149253731344,Very Large
2.24236,0.0,19.58,0,0.605,5.854,91.8,2.422,5,403.0,14.7,395.11,11.64,22.7,34.269316,2.5368663887187113,3.87769046805603,Medium
2.924,0.0,19.58,0,0.605,6.101,93.0,2.2834,5,403.0,14.7,240.16,9.81,25.0,37.222201,2.3804716316511167,4.097688903458449,Large
2.01019,0.0,19.58,0,0.605,7.929,96.2,2.0459,5,403.0,14.7,369.3,3.7,50.0,62.869041,1.547562508716013,6.30596544330937,Very Large
1.80028,0.0,19.58,0,0.605,5.877,79.2,2.4259,5,403.0,14.7,227.61,12.14,23.8,34.539128999999996,2.5756610130564646,4.0496852135443255,Medium
2.3004,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403.0,14.7,297.09,11.1,23.8,39.929761,2.4932054526026954,3.766418737141953,Large
2.44953,0.0,19.58,0,0.605,6.402,95.2,2.2625,5,403.0,14.7,330.04,11.32,22.3,40.985604,2.511223958105374,3.483286472977195,Large
1.20742,0.0,19.58,0,0.605,5.875,94.6,2.4259,5,403.0,14.7,292.29,14.43,17.4,34.515625,2.7363136663750693,2.9617021276595743,Medium
